datetime,datetime,year,month,day,random,sazonal,timeSeries
2060-01-01 00:00:00,2060-01-01 00:00:00,2060,1,1,0.8999625937390817,1.0,10.899962593739081
2060-01-01 01:00:00,2060-01-01 01:00:00,2060,1,1,0.2921666456989791,0.9999997588734665,10.292164234433644
2060-01-01 02:00:00,2060-01-01 02:00:00,2060,1,1,0.9654011113135882,0.9999990354939822,10.96539146625341
2060-01-01 03:00:00,2060-01-01 03:00:00,2060,1,1,0.33051572638526583,0.999997829861896,10.330494025004224
2060-01-01 04:00:00,2060-01-01 04:00:00,2060,1,1,0.7256601387656609,0.9999961419777894,10.725621558543555
2060-01-01 05:00:00,2060-01-01 05:00:00,2060,1,1,0.020546543590741928,0.9999939718424762,10.020486262015504
2060-01-01 06:00:00,2060-01-01 06:00:00,2060,1,1,0.9898459360483567,0.9999913194570031,10.989759130618387
2060-01-01 07:00:00,2060-01-01 07:00:00,2060,1,1,0.4010157049747488,0.9999881848226492,10.40089755320124
2060-01-01 08:00:00,2060-01-01 08:00:00,2060,1,1,0.25145170960835617,0.9999845679409262,10.251297389017617
2060-01-01 09:00:00,2060-01-01 09:00:00,2060,1,1,0.8905029153701435,0.9999804688135782,10.890307603505926
2060-01-01 10:00:00,2060-01-01 10:00:00,2060,1,1,0.960296690356836,0.9999758874425823,10.960055564782659
2060-01-01 11:00:00,2060-01-01 11:00:00,2060,1,1,0.7856659041145134,0.9999708238301476,10.78537414241599
2060-01-01 12:00:00,2060-01-01 12:00:00,2060,1,1,0.21823160289418575,0.9999652779787161,10.217884382681348
2060-01-01 13:00:00,2060-01-01 13:00:00,2060,1,1,0.5852798738803844,0.9999592498909624,10.58487237279001
2060-01-01 14:00:00,2060-01-01 14:00:00,2060,1,1,0.9921569104889486,0.9999527395697936,10.991684306186883
2060-01-01 15:00:00,2060-01-01 15:00:00,2060,1,1,0.9413614290571803,0.9999457470183493,10.940818899240673
2060-01-01 16:00:00,2060-01-01 16:00:00,2060,1,1,0.5461970982206806,0.9999382722400014,10.545579820620695
2060-01-01 17:00:00,2060-01-01 17:00:00,2060,1,1,0.6533089123271276,0.9999303152383551,10.652612064710677
2060-01-01 18:00:00,2060-01-01 18:00:00,2060,1,1,0.9962420934028973,0.9999218760172474,10.99546085357537
2060-01-01 19:00:00,2060-01-01 19:00:00,2060,1,1,0.10350585095057963,0.999912954580748,10.10263539675806
2060-01-01 20:00:00,2060-01-01 20:00:00,2060,1,1,0.9792271322331227,0.9999035509331596,10.978262641564719
2060-01-01 21:00:00,2060-01-01 21:00:00,2060,1,1,0.13700078533047044,0.9998936650790171,10.135937436120642
2060-01-01 22:00:00,2060-01-01 22:00:00,2060,1,1,0.29740436709234663,0.9998832970230879,10.296237337323225
2060-01-01 23:00:00,2060-01-01 23:00:00,2060,1,1,0.7144072778473421,0.9998724467703719,10.713131745551062
2060-01-02 00:00:00,2060-01-02 00:00:00,2060,1,2,0.10180857464060988,0.9998611143261019,10.10041971790163
2060-01-02 01:00:00,2060-01-02 01:00:00,2060,1,2,0.0143666919212172,0.9998492996957429,10.012859688878647
2060-01-02 02:00:00,2060-01-02 02:00:00,2060,1,2,0.02844140833990838,0.9998370028849926,10.026811437189835
2060-01-02 03:00:00,2060-01-02 03:00:00,2060,1,2,0.5305006104734291,0.999824223899781,10.52874284947124
2060-01-02 04:00:00,2060-01-02 04:00:00,2060,1,2,0.11910543223348025,0.9998109627462709,10.11721505969619
2060-01-02 05:00:00,2060-01-02 05:00:00,2060,1,2,0.6422667400139068,0.9997972194308576,10.640238934322484
2060-01-02 06:00:00,2060-01-02 06:00:00,2060,1,2,0.9823547954001542,0.9997829939601689,10.980184735001842
2060-01-02 07:00:00,2060-01-02 07:00:00,2060,1,2,0.19339149389422616,0.999768286341065,10.191074357304876
2060-01-02 08:00:00,2060-01-02 08:00:00,2060,1,2,0.9878957337132658,0.9997530965806385,10.985426699519651
2060-01-02 09:00:00,2060-01-02 09:00:00,2060,1,2,0.9179234400311574,0.999737424686215,10.915297686893307
2060-01-02 10:00:00,2060-01-02 10:00:00,2060,1,2,0.11775279337231359,0.9997212706653522,10.114965500025836
2060-01-02 11:00:00,2060-01-02 11:00:00,2060,1,2,0.2439547613355847,0.9997046345258405,10.24100110659399
2060-01-02 12:00:00,2060-01-02 12:00:00,2060,1,2,0.3129381809276033,0.9996875162757026,10.30981334368463
2060-01-02 13:00:00,2060-01-02 13:00:00,2060,1,2,0.817653384256852,0.9996699159231939,10.814352543488791
2060-01-02 14:00:00,2060-01-02 14:00:00,2060,1,2,0.6127538351142727,0.9996518334768022,10.609272169882294
