datetime,datetime,random,year,month,day,sazonal,timeSeries
2022-01-01 00:00:00,2022-01-01 00:00:00,0.12853534646569942,2022,1,1,1.0,10.1285353464657
2022-01-01 01:00:00,2022-01-01 01:00:00,0.21562870100238785,2022,1,1,0.9999997588734665,10.215626289737052
2022-01-01 02:00:00,2022-01-01 02:00:00,0.5437398763627412,2022,1,1,0.9999990354939822,10.543730231302563
2022-01-01 03:00:00,2022-01-01 03:00:00,0.39170266670652787,2022,1,1,0.999997829861896,10.391680965325488
2022-01-01 04:00:00,2022-01-01 04:00:00,0.49386530790029015,2022,1,1,0.9999961419777894,10.493826727678183
2022-01-01 05:00:00,2022-01-01 05:00:00,0.8248203719975676,2022,1,1,0.9999939718424762,10.82476009042233
2022-01-01 06:00:00,2022-01-01 06:00:00,0.703565647677339,2022,1,1,0.9999913194570031,10.70347884224737
2022-01-01 07:00:00,2022-01-01 07:00:00,0.07642530422908966,2022,1,1,0.9999881848226492,10.076307152455582
2022-01-01 08:00:00,2022-01-01 08:00:00,0.19595613196457018,2022,1,1,0.9999845679409262,10.195801811373832
2022-01-01 09:00:00,2022-01-01 09:00:00,0.38102279398489314,2022,1,1,0.9999804688135782,10.380827482120676
2022-01-01 10:00:00,2022-01-01 10:00:00,0.816906924582638,2022,1,1,0.9999758874425823,10.81666579900846
2022-01-01 11:00:00,2022-01-01 11:00:00,0.47598677674332335,2022,1,1,0.9999708238301476,10.4756950150448
2022-01-01 12:00:00,2022-01-01 12:00:00,0.12627932443985224,2022,1,1,0.9999652779787161,10.125932104227015
2022-01-01 13:00:00,2022-01-01 13:00:00,0.3477656007995411,2022,1,1,0.9999592498909624,10.347358099709165
2022-01-01 14:00:00,2022-01-01 14:00:00,0.5287298375356018,2022,1,1,0.9999527395697936,10.528257233233537
2022-01-01 15:00:00,2022-01-01 15:00:00,0.7761907184953536,2022,1,1,0.9999457470183493,10.775648188678847
2022-01-01 16:00:00,2022-01-01 16:00:00,0.9006682423903449,2022,1,1,0.9999382722400014,10.90005096479036
2022-01-01 17:00:00,2022-01-01 17:00:00,0.6356362965408382,2022,1,1,0.9999303152383551,10.634939448924388
2022-01-01 18:00:00,2022-01-01 18:00:00,0.8768705084194637,2022,1,1,0.9999218760172474,10.876089268591937
2022-01-01 19:00:00,2022-01-01 19:00:00,0.18479418365813127,2022,1,1,0.999912954580748,10.183923729465612
2022-01-01 20:00:00,2022-01-01 20:00:00,0.027535250758374152,2022,1,1,0.9999035509331596,10.026570760089971
2022-01-01 21:00:00,2022-01-01 21:00:00,0.3950930561766509,2022,1,1,0.9998936650790171,10.39402970696682
2022-01-01 22:00:00,2022-01-01 22:00:00,0.9302611022312469,2022,1,1,0.9998832970230879,10.929094072462126
2022-01-01 23:00:00,2022-01-01 23:00:00,0.139019523422253,2022,1,1,0.9998724467703719,10.137743991125971
2022-01-02 00:00:00,2022-01-02 00:00:00,0.7924901685608335,2022,1,2,0.9998611143261019,10.791101311821853
2022-01-02 01:00:00,2022-01-02 01:00:00,0.7277621217041479,2022,1,2,0.9998492996957429,10.726255118661577
2022-01-02 02:00:00,2022-01-02 02:00:00,0.11776241459394743,2022,1,2,0.9998370028849926,10.116132443443874
2022-01-02 03:00:00,2022-01-02 03:00:00,0.7813371854921972,2022,1,2,0.999824223899781,10.779579424490006
2022-01-02 04:00:00,2022-01-02 04:00:00,0.9557881024395313,2022,1,2,0.9998109627462709,10.95389772990224
2022-01-02 05:00:00,2022-01-02 05:00:00,0.16343057757930757,2022,1,2,0.9997972194308576,10.161402771887884
2022-01-02 06:00:00,2022-01-02 06:00:00,0.4521951600418702,2022,1,2,0.9997829939601689,10.45002509964356
2022-01-02 07:00:00,2022-01-02 07:00:00,0.1967383506434175,2022,1,2,0.999768286341065,10.194421214054067
2022-01-02 08:00:00,2022-01-02 08:00:00,0.3455172751907717,2022,1,2,0.9997530965806385,10.343048240997158
2022-01-02 09:00:00,2022-01-02 09:00:00,0.26411796748250205,2022,1,2,0.999737424686215,10.261492214344651
2022-01-02 10:00:00,2022-01-02 10:00:00,0.5566804617834236,2022,1,2,0.9997212706653522,10.553893168436947
2022-01-02 11:00:00,2022-01-02 11:00:00,0.5036436156267938,2022,1,2,0.9997046345258405,10.500689960885198
2022-01-02 12:00:00,2022-01-02 12:00:00,0.3652449095916003,2022,1,2,0.9996875162757026,10.362120072348628
2022-01-02 13:00:00,2022-01-02 13:00:00,0.5168476514509724,2022,1,2,0.9996699159231939,10.51354681068291
2022-01-02 14:00:00,2022-01-02 14:00:00,0.2358849339271757,2022,1,2,0.9996518334768022,10.232403268695197
2022-01-02 15:00:00,2022-01-02 15:00:00,0.9063066033232923,2022,1,2,0.9996332689452478,10.90263929277577
2022-01-02 16:00:00,2022-01-02 16:00:00,0.24066917946308242,2022,1,2,0.9996142223374836,10.236811402837919
2022-01-02 17:00:00,2022-01-02 17:00:00,0.6800258220190963,2022,1,2,0.9995946936626949,10.675972758646047
2022-01-02 18:00:00,2022-01-02 18:00:00,0.5880069084756995,2022,1,2,0.9995746829302993,10.583753737778693
2022-01-02 19:00:00,2022-01-02 19:00:00,0.8102178158357438,2022,1,2,0.9995541901499472,10.805759717335215
2022-01-02 20:00:00,2022-01-02 20:00:00,0.7700898927712618,2022,1,2,0.9995332153315211,10.765422046086472
2022-01-02 21:00:00,2022-01-02 21:00:00,0.3219426226685973,2022,1,2,0.9995117584851364,10.317060207519962
2022-01-02 22:00:00,2022-01-02 22:00:00,0.5435152944558426,2022,1,2,0.9994898196211406,10.538413490667248
2022-01-02 23:00:00,2022-01-02 23:00:00,0.12219340239489263,2022,1,2,0.9994673987501137,10.11686738989603
2022-01-03 00:00:00,2022-01-03 00:00:00,0.6064334592910274,2022,1,3,0.9994444958828685,10.600878418119713
2022-01-03 01:00:00,2022-01-03 01:00:00,0.7006131667514326,2022,1,3,0.9994211110304497,10.69482427705593
2022-01-03 02:00:00,2022-01-03 02:00:00,0.8698463359990614,2022,1,3,0.999397244204135,10.863818778040411
2022-01-03 03:00:00,2022-01-03 03:00:00,0.7805931594651979,2022,1,3,0.999372895415434,10.774322113619537
